movie_url,movie_id,year,released,rating,director,writer,star,country,budget,budget currency,budget value,gross,gross currency,gross value,company,runtime
http://www.imdb.com/title/tt3794354/?ref_=adv_li_tt,tt3794354,2020,"February 14, 2020 (United States)",PG,Jeff Fowler,Pat Casey,Ben Schwartz,United States,"$85,000,000 (estimated)",$,85000000.0,"$319,715,683",$,319715683.0,Paramount Pictures,
http://www.imdb.com/title/tt6723592/?ref_=adv_li_tt,tt6723592,2020,"September 3, 2020 (United States)",PG-13,Christopher Nolan,Christopher Nolan,John David Washington,United States,"$205,000,000 (estimated)",$,205000000.0,"$363,704,105",$,363704105.0,Warner Bros.,
http://www.imdb.com/title/tt8332922/?ref_=adv_li_tt,tt8332922,2020,"May 28, 2021 (United States)",PG-13,John Krasinski,John Krasinski,Emily Blunt,United States,,,,"$297,372,261",$,297372261.0,Buffalo FilmWorks,
http://www.imdb.com/title/tt7713068/?ref_=adv_li_tt,tt7713068,2020,"February 7, 2020 (United States)",R,Cathy Yan,Christina Hodson,Margot Robbie,United States,"$84,500,000 (estimated)",$,84500000.0,"$201,872,791",$,201872791.0,Clubhouse Pictures (II),
http://www.imdb.com/title/tt7126948/?ref_=adv_li_tt,tt7126948,2020,"December 25, 2020 (United States)",PG-13,Patty Jenkins,Patty Jenkins,Gal Gadot,United States,"$200,000,000 (estimated)",$,200000000.0,"$166,801,036",$,166801036.0,Atlas Entertainment,
http://www.imdb.com/title/tt0983946/?ref_=adv_li_tt,tt0983946,2020,"February 14, 2020 (United States)",PG-13,Jeff Wadlow,Jeff Wadlow,Michael Peña,United States,"$7,000,000 (estimated)",$,7000000.0,"$48,811,343",$,48811343.0,Columbia Pictures,
http://www.imdb.com/title/tt1051906/?ref_=adv_li_tt,tt1051906,2020,"February 28, 2020 (United States)",R,Leigh Whannell,Leigh Whannell,Elisabeth Moss,Australia,"$7,000,000 (estimated)",$,7000000.0,"$143,151,000",$,143151000.0,Universal Pictures,
http://www.imdb.com/title/tt10362466/?ref_=adv_li_tt,tt10362466,2020,"October 23, 2020 (United States)",R,Roger Kumble,Anna Todd,Josephine Langford,United States,,,,"$47,990,414",$,47990414.0,CalMaple,
http://www.imdb.com/title/tt1502397/?ref_=adv_li_tt,tt1502397,2020,"January 17, 2020 (United States)",R,Adil El Arbi,Peter Craig,Will Smith,United States,"$90,000,000 (estimated)",$,90000000.0,"$426,505,244",$,426505244.0,Columbia Pictures,
http://www.imdb.com/title/tt2222042/?ref_=adv_li_tt,tt2222042,2020,"October 16, 2020 (United States)",PG-13,Michael Matthews,Brian Duffield,Dylan O'Brien,Canada,,,,"$1,122,066",$,1122066.0,Paramount Pictures,
http://www.imdb.com/title/tt6673612/?ref_=adv_li_tt,tt6673612,2020,"January 17, 2020 (United States)",PG,Stephen Gaghan,Stephen Gaghan,Robert Downey Jr.,United States,"$175,000,000 (estimated)",$,175000000.0,"$245,439,115",$,245439115.0,Universal Pictures,
http://www.imdb.com/title/tt7504726/?ref_=adv_li_tt,tt7504726,2020,"February 21, 2020 (United States)",PG,Chris Sanders,Michael Green,Harrison Ford,United States,"$135,000,000 (estimated)",$,135000000.0,"$111,105,497",$,111105497.0,20th Century Studios,
http://www.imdb.com/title/tt7146812/?ref_=adv_li_tt,tt7146812,2020,"March 6, 2020 (United States)",PG,Dan Scanlon,Dan Scanlon,Tom Holland,United States,"$175,000,000 (estimated)",$,175000000.0,"$141,940,042",$,141940042.0,Walt Disney Pictures,
