"movie_url","movie_id","year","released","rating","director","writer","star","country","budget","budget currency","budget value","gross","gross currency","gross value","company","runtime"
"http://www.imdb.com/title/tt4123430/?ref_=adv_li_tt","tt4123430",2018,"November 16, 2018 (United States)","PG-13","David Yates","J.K. Rowling","Eddie Redmayne","United Kingdom","$200,000,000 (estimated)","$",2e+08,"$654,855,901","$",654855901,"Heyday Films",NA
"http://www.imdb.com/title/tt1477834/?ref_=adv_li_tt","tt1477834",2018,"December 21, 2018 (United States)","PG-13","James Wan","David Leslie Johnson-McGoldrick","Jason Momoa","United States","$160,000,000 (estimated)","$",1.6e+08,"$1,148,528,393","$",1148528393,"Warner Bros.",NA
"http://www.imdb.com/title/tt4633694/?ref_=adv_li_tt","tt4633694",2018,"December 14, 2018 (United States)","PG","Bob Persichetti","Phil Lord","Shameik Moore","United States","$90,000,000 (estimated)","$",9e+07,"$375,540,831","$",375540831,"Sony Pictures Entertainment (SPE)",NA
"http://www.imdb.com/title/tt7784604/?ref_=adv_li_tt","tt7784604",2018,"June 8, 2018 (United States)","R","Ari Aster","Ari Aster","Toni Collette","United States","$10,000,000 (estimated)","$",1e+07,"$80,239,658","$",80239658,"PalmStar Media",NA
"http://www.imdb.com/title/tt4154756/?ref_=adv_li_tt","tt4154756",2018,"April 27, 2018 (United States)","PG-13","Anthony Russo","Christopher Markus","Robert Downey Jr.","United States","$321,000,000 (estimated)","$",3.21e+08,"$2,048,359,754","$",2048359754,"Marvel Studios",NA
"http://www.imdb.com/title/tt1273221/?ref_=adv_li_tt","tt1273221",2018,"October 26, 2018 (United States)","R","Mathew Cullen","Roberta Hanley","Amber Heard","United Kingdom","$8,000,000 (estimated)","$",8e+06,"$487,420","$",487420,"Muse Productions",NA
"http://www.imdb.com/title/tt1677720/?ref_=adv_li_tt","tt1677720",2018,"March 29, 2018 (United States)","PG-13","Steven Spielberg","Zak Penn","Tye Sheridan","United States","$175,000,000 (estimated)","$",1.75e+08,"$582,918,849","$",582918849,"Warner Bros.",NA
"http://www.imdb.com/title/tt1727824/?ref_=adv_li_tt","tt1727824",2018,"November 2, 2018 (United States)","PG-13","Bryan Singer","Anthony McCarten","Rami Malek","United Kingdom","$52,000,000 (estimated)","$",5.2e+07,"$910,809,311","$",910809311,"Twentieth Century Fox",NA
"http://www.imdb.com/title/tt1825683/?ref_=adv_li_tt","tt1825683",2018,"February 16, 2018 (United States)","PG-13","Ryan Coogler","Ryan Coogler","Chadwick Boseman","United States","$200,000,000 (estimated)","$",2e+08,"$1,347,597,973","$",1347597973,"Marvel Studios",NA
"http://www.imdb.com/title/tt5463162/?ref_=adv_li_tt","tt5463162",2018,"May 18, 2018 (United States)","R","David Leitch","Rhett Reese","Ryan Reynolds","United States","$110,000,000 (estimated)","$",1.1e+08,"$785,896,609","$",785896609,"Twentieth Century Fox",NA
"http://www.imdb.com/title/tt4881806/?ref_=adv_li_tt","tt4881806",2018,"June 22, 2018 (United States)","PG-13","J.A. Bayona","Derek Connolly","Chris Pratt","United States","$170,000,000 (estimated)","$",1.7e+08,"$1,310,466,296","$",1310466296,"Universal Pictures",NA
"http://www.imdb.com/title/tt1270797/?ref_=adv_li_tt","tt1270797",2018,"October 5, 2018 (United States)","PG-13","Ruben Fleischer","Jeff Pinkner","Tom Hardy","United States","$100,000,000 (estimated)","$",1e+08,"$856,085,151","$",856085151,"Avi Arad Productions",NA
"http://www.imdb.com/title/tt2798920/?ref_=adv_li_tt","tt2798920",2018,"February 23, 2018 (United States)","R","Alex Garland","Alex Garland","Natalie Portman","United States","$40,000,000 (estimated)","$",4e+07,"$43,070,915","$",43070915,"Paramount Pictures",NA
"http://www.imdb.com/title/tt6998518/?ref_=adv_li_tt","tt6998518",2018,"September 14, 2018 (United States)","Not Rated","Panos Cosmatos","Panos Cosmatos","Nicolas Cage","United Kingdom","$6,000,000 (estimated)","$",6e+06,"$1,552,188","$",1552188,"SpectreVision",NA
"http://www.imdb.com/title/tt6966692/?ref_=adv_li_tt","tt6966692",2018,"November 16, 2018 (United States)","PG-13","Peter Farrelly","Nick Vallelonga","Viggo Mortensen","United States","$23,000,000 (estimated)","$",2.3e+07,"$321,752,656","$",321752656,"Participant",NA
"http://www.imdb.com/title/tt5688932/?ref_=adv_li_tt","tt5688932",2018,"July 13, 2018 (United States)","R","Boots Riley","Boots Riley","LaKeith Stanfield","United States","$3,200,000 (estimated)","$",3200000,"$18,170,707","$",18170707,"Cinereach",NA
"http://www.imdb.com/title/tt5117670/?ref_=adv_li_tt","tt5117670",2018,"February 9, 2018 (United States)","PG","Will Gluck","Rob Lieber","James Corden","United States","$50,000,000 (estimated)","$",5e+07,"$351,496,066","$",351496066,"Columbia Pictures",NA
"http://www.imdb.com/title/tt3104988/?ref_=adv_li_tt","tt3104988",2018,"August 15, 2018 (United States)","PG-13","Jon M. Chu","Peter Chiarelli","Constance Wu","United States","$30,000,000 (estimated)","$",3e+07,"$238,843,729","$",238843729,"Warner Bros.",NA
"http://www.imdb.com/title/tt6644200/?ref_=adv_li_tt","tt6644200",2018,"April 6, 2018 (United States)","PG-13","John Krasinski","Bryan Woods","Emily Blunt","United States","$17,000,000 (estimated)","$",1.7e+07,"$340,952,971","$",340952971,"Paramount Pictures",NA
"http://www.imdb.com/title/tt1034415/?ref_=adv_li_tt","tt1034415",2018,"November 2, 2018 (United States)","R","Luca Guadagnino","Dario Argento","Chloë Grace Moretz","Italy","$20,000,000 (estimated)","$",2e+07,"$7,942,093","$",7942093,"Frenesy Film Company",NA
"http://www.imdb.com/title/tt7349662/?ref_=adv_li_tt","tt7349662",2018,"August 10, 2018 (United States)","R","Spike Lee","Charlie Wachtel","John David Washington","United States","$15,000,000 (estimated)","$",1.5e+07,"$93,413,709","$",93413709,"Focus Features",NA
